playlist-header,Playlist
save-playlist-btn,Save Playlist
close-playlist-btn,Close Playlist
playlist-setup-text,No playlist currently open
open-playlist-btn,Open Playlist
playlist-setup-text2,or
paste-playlist-btn,Paste Playlist
preview-header,Preview
setup-preview-btn,Setup
control-group-label-slide,Slide Control
prev-slide-btn,Prev Slide (←/↑/PgUp)
next-slide-btn,Next Slide (→/↓/PgDn)
blank-btn,Blank Screen (B)
control-group-label-setup,Setup
open-slideshow-btn,Open Slideshow Window
remote-control-btn,Setup Remote Control
settings-btn,Settings
